IR emitter,,vs lb3940,,19pcs
LEDs,,Green - tept5700,,7 pcs
,,yellow green ,,10 pcs
,,RGB,,6
,,RGB SMD Module,,2
,,Two color Module,,4
,,RGB Module,,2
Soldier Wire,,1mm-60/40 - flux 1.8%,,26
pH Electrode ,,analytical surver elecrode,,4
Analogue pH sensor,,,,4
Arduino ,,TDS Conductivity Kit,,5
,,Data Logging Shield,,2
,,UNO -R3 Board,,10
,,UNO-R3 USB Cable,,10
,,Nano-v3.0 USB Cables,,20
,,Nano - v3.0 Board,,20
Brass Sponge,,,,10
IR Infrared Sensor Module,,HW 201,,30
RFID Card Reader Module,,,,8
Zener Diode,,0.5W,,600pcs
Bluetooth Module,,HC05,,4
Temperature Probe,,1M DS18b20,,4
Rotary Potentiometer,,WH148 3pin 5K,,20
,,WH148 3pin 10K,,20
,,WH148 3pin 20K,,20
,,WH148 3pin 1K,,20
,,WH148 3pin 500,,20
MicroSD Card W/R module,,,,4
Acceelerometer + Gyro,,MPU-6050,,4
Voltage Regulator,,L7805CV,,20
Slide Switch,,SPDT 3pin,,50
Lithium Battery Charging Board,,,,10
Heat sink ,,Black Anodized,,50
Jumper Wire,,F-F,,400
,,M-F,,400
,,M-M,,400
GPRS GSM Breakout,,SIM800L,,4
Wif Module,,ESP8266-01,,4
Stepper Motor,,42 step T8 Screwlead 120mm,,8
BLuetooth Audio Receeiver,,DC 5V,,10
9v Battery Holder Clip,,,,10
,,,,
Perspex ,Clear,2mm,,4
,Dark-blue,3mm,,2
,Safari Green,,,2
,Red,,,1
,,,,
6 ply,,,,15
BLock board,,"3/4""",,10
Premium Brush ,,"2""",,5
,,"4""",,5
Grinder Batteries,Total,,,2
Hacksaw Blades,,,,41
